name          5k        10k     15k      20k      25k
ECAL_twoPhotonInTime10ns20DegreeDeltaThetaUnderPeak 4134 3897 5351  5591 5282
ECAL_twoPhotonInTime10nsEThr90 4640 4271 6430  6541 6555
ECAL_twoPhotonInTime10ns20DegreeEThr90 4067 3912 5351  5644 5347
ECAL_twoPhotonInTime10ns20DegreeDeltaThetaEThr90 4020 3840 5277  5507 5189
ECAL_gravTwoPhoton10ns5cm 4212 4015 5568  5886 5500
ECAL_gravTwoPhoton10ns5cmUnderPeak 4209 4001 5531  5843 5448
ECAL_gravTwoPhoton10ns5cmUnderPeakEThr90 4168 3955 5491  5789 5359
ECAL_gravTwoPhoton10ns5cmUnderPeakEThr90_FRY 1965 1891 2597  2724 2433
ECAL_gravTwoPhoton10ns5cmEThr90 4170 3964 5510  5813 5386
ECAL_dTime_10ns 7769 4139 3755  -1540 -2801
ECAL_dTime_10ns_UnderPeakEThr90 4623 4262 6370  6465 6486
ECAL_dTime_10ns20DegreeDeltaTheta 4300 3940 5342  5348 4942
ECAL_dTime_10ns20DegreeDeltaThetaUnderPeakEThr90 4021 3838 5272  5504 5177
ECAL_dTime_10ns5CoG 4572 4080 5430  5301 4854
ECAL_dTime_10ns5CoGUnderPeakEThr90 4168 3955 5491  5789 5359
ECAL_DeltaTheta_10ns 4169 5253 2688  7089 3815
ECAL_DeltaTheta_10nsUnderPeakEThr90 4169 3931 5716  5759 5683
ECal_DeltaThetaFuncAllCl 24417 20736 22658  16122 9084
name          5k        10k     15k      20k      25k
ECAL_twoPhotonInTime10ns 5164 4851 7507  7676 8013
ECAL_gravTwoPhoton10ns_InDeltaPhi20Degree2Method 4195 4001 5565  5848 5610
ECAL_gravTwoPhoton10ns_InDeltaPhi20Degree2Method_DeltaTheta 4138 3903 5376  5620 5313
ECAL_twoPhotonInTime10nsUnderPeak 5131 4833 7405  7546 7855
ECAL_twoPhotonInTime10ns20DegreeUnderPeak 4193 3990 5537  5806 5569
ECAL_twoPhotonInTime10ns20DegreeDeltaThetaUnderPeak 4134 3897 5351  5591 5282
ECAL_twoPhotonInTime10nsEThr90 4640 4271 6430  6541 6555
ECAL_twoPhotonInTime10ns20DegreeEThr90 4067 3912 5351  5644 5347
ECAL_twoPhotonInTime10ns20DegreeDeltaThetaEThr90 4020 3840 5277  5507 5189
ECAL_gravTwoPhoton10ns5cm 4212 4015 5568  5886 5500
ECAL_gravTwoPhoton10ns5cmUnderPeak 4209 4001 5531  5843 5448
ECAL_gravTwoPhoton10ns5cmUnderPeakEThr90 4168 3955 5491  5789 5359
ECAL_gravTwoPhoton10ns5cmUnderPeakEThr90_FRY 1965 1891 2597  2724 2433
ECAL_gravTwoPhoton10ns5cmEThr90 4170 3964 5510  5813 5386
ECAL_dTime_10ns 7769 4139 3755  -1540 -2801
ECAL_dTime_10ns_UnderPeakEThr90 4623 4262 6370  6465 6486
ECAL_dTime_10ns20DegreeDeltaTheta 4300 3940 5342  5348 4942
ECAL_dTime_10ns20DegreeDeltaThetaUnderPeakEThr90 4021 3838 5272  5504 5177
ECAL_dTime_10ns5CoG 4572 4080 5430  5301 4854
ECAL_dTime_10ns5CoGUnderPeakEThr90 4168 3955 5491  5789 5359
ECAL_DeltaTheta_10ns 4169 5253 2688  7089 3815
ECAL_DeltaTheta_10nsUnderPeakEThr90 4169 3931 5716  5759 5683
ECal_DeltaThetaFuncAllCl 24417 20736 22658  16122 9084
